username,game_url,game_index,event_index,opportunity_cp,target_pawns,t_turns_engine,converted_actual,t_turns_actual,opponent_move_ply_index,opponent_move_san,opponent_move_uci,best_reply_san,best_reply_uci,fen_before,fen_after,pv_moves,pv_evals,eval_before,white_player,black_player,player_color,time_control,game_result,end_time
k2f4x,Chess.com,0,0,102,1,3,1,3,13,Qxd1+,d8d1,Rxd1,a1d1,rnbq1rk1/ppp1ppbp/5np1/4P1B1/2P5/2N5/PP3PPP/R2QKBNR b KQ - 0 7,rnb2rk1/ppp1ppbp/5np1/4P1B1/2P5/2N5/PP3PPP/R2qKBNR w KQ - 0 8,a1d1|f6g4|g5e7,-20|-13|-19,-16,k2f4x,gouagoua,white,180,0-1,2026.01.10 05:52:44
k2f4x,Chess.com,0,1,420,4,5,1,5,17,e6,e7e6,Nxc7,d5c7,rnb2rk1/pppnppbp/6p1/3NP1B1/2P5/8/PP3PPP/3RKBNR b K - 2 9,rnb2rk1/pppn1pbp/4p1p1/3NP1B1/2P5/8/PP3PPP/3RKBNR w K - 0 10,d5c7|b8a6|c7a8|d7e5|g5e7,385|391|384|409|403,382,k2f4x,gouagoua,white,180,0-1,2026.01.10 05:52:44
k2f4x,Chess.com,0,2,217,2,5,0,,33,Nxa3,c2a3,Bd6,f4d6,2b2rk1/5pbp/np2p1p1/8/2P2B2/PP6/2n1BPPP/3R1KNR b - - 2 17,2b2rk1/5pbp/np2p1p1/8/2P2B2/nP6/4BPPP/3R1KNR w - - 0 18,f4d6|a6c5|d6f8|g7f8|h2h4,391|378|384|392|369,385,k2f4x,gouagoua,white,180,0-1,2026.01.10 05:52:44
k2f4x,Chess.com,0,3,217,2,27,0,,39,Ba6,c8a6,Rd6,d1d6,2b2rk1/5pbp/1p2p1p1/8/1nP2B2/1P3NP1/2n1BPKP/3R3R b - - 2 20,5rk1/5pbp/bp2p1p1/8/1nP2B2/1P3NP1/2n1BPKP/3R3R w - - 3 21,d1d6|a6b7|d6b6|b7e4|h1d1|e6e5|f4d2|b4a2|g2g1|e4f5|b6a6|c2b4|a6b6|b4c2|c4c5|e5e4|f3e1|c2d4|e2c4|f5g4|d1a1|d4b3|a1a2|b3d2|a2d2|g7c3|b6d6,346|349|362|347|341|355|333|353|375|373|349|362|377|390|395|394|405|385|391|413|419|438|432|446|447|453|468,334,k2f4x,gouagoua,white,180,0-1,2026.01.10 05:52:44
k2f4x,Chess.com,0,4,197,1,5,1,5,41,b5,b6b5,Bxb4,d2b4,5rk1/5pbp/bp2p1p1/8/1nP5/1P3NP1/2nBBPKP/3R3R b - - 4 21,5rk1/5pbp/b3p1p1/1p6/1nP5/1P3NP1/2nBBPKP/3R3R w - - 0 22,d2b4|c2b4|c4b5|a6b7|d1d7,336|342|317|341|333,324,k2f4x,gouagoua,white,180,0-1,2026.01.10 05:52:44
k2f4x,Chess.com,0,5,247,2,31,0,,53,Nb4,d5b4,Rc7,c2c7,5rk1/1b3pbp/4p1p1/1P1n4/8/1P3NP1/2R1BP1P/3R2K1 b - - 8 27,5rk1/1b3pbp/4p1p1/1P6/1n6/1P3NP1/2R1BP1P/3R2K1 w - - 9 28,c2c7|b7d5|d1c1|g7f6|c7c8|f8c8|c1c8|g8g7|b5b6|g6g5|f3d2|f6d4|d2c4|h7h5|e2h5|b4d3|c8c7|g7h6|h5e2|d3f2|g1f1|f2e4|c7f7|e4c5|b3b4|h6g6|c4d6|g5g4|b4c5|d4c5|e2d3,426|401|418|444|434|512|500|484|462|488|501|504|495|500|500|507|513|518|532|520|525|534|532|566|552|605|582|682|689|651|638,411,k2f4x,gouagoua,white,180,0-1,2026.01.10 05:52:44
k2f4x,Chess.com,1,0,812,8,31,0,,41,Qe4,e7e4,Nxe4,c3e4,r3r1k1/4qpp1/2p2b1p/2Pp1Q2/1P3P2/2N1P3/6PP/2R1R1K1 b - - 0 21,r3r1k1/5pp1/2p2b1p/2Pp1Q2/1P2qP2/2N1P3/6PP/2R1R1K1 w - - 1 22,c3e4|d5e4|f5d7|g7g5|d7c6|f6g7|f4g5|h6g5|c1d1|a8b8|c6d7|e8f8|c5c6|b8b4|d7e7|b4b3|c6c7|b3d3|d1b1|d3c3|b1b8|g5g4|e1f1|f7f6|b8f8|g7f8|e7f6|c3c7|f6f8|g8h7|f8f5,570|582|585|622|631|633|675|644|667|667|680|700|691|707|729|767|729|724|736|781|852|740|10000|1080|10000|10000|10000|10000|10000|10000|10000,584,k2f4x,Dudulica,white,180,1-0,2026.01.10 16:35:00
k2f4x,Chess.com,1,1,212,2,9,1,7,45,cxb5,c6b5,Nxb5,c3b5,r3r1k1/5pp1/2p2b1p/1PP5/4pP2/2N1P3/6PP/2R1R1K1 b - - 0 23,r3r1k1/5pp1/5b1p/1pP5/4pP2/2N1P3/6PP/2R1R1K1 w - - 0 24,c3b5|e8b8|b5d6|f6e7|d6f5|b8b2|f5e7|g8f8|c1b1,197|177|211|208|219|284|308|293|381,239,k2f4x,Dudulica,white,180,1-0,2026.01.10 16:35:00
k2f4x,Chess.com,1,2,145,1,17,1,5,47,Rec8,e8c8,c6,c5c6,r3r1k1/5pp1/5b1p/1NP5/4pP2/4P3/6PP/2R1R1K1 b - - 0 24,r1r3k1/5pp1/5b1p/1NP5/4pP2/4P3/6PP/2R1R1K1 w - - 1 25,c5c6|a8a5|b5d6|c8c7|d6e8|c7c8|e8d6|c8c7|d6e8|c7c8|e8d6|c8c7|c1c4|f6e7|d6e4|f7f5|e4g3,320|292|319|287|323|311|313|313|321|311|319|323|319|313|310|325|293,324,k2f4x,Dudulica,white,180,1-0,2026.01.10 16:35:00
k2f4x,Chess.com,1,3,115,1,31,1,5,51,Rac8,a8c8,Red1,e1d1,r5k1/5pp1/2r2b1p/2P5/4NP2/4P3/6PP/2R1R1K1 b - - 0 26,2r3k1/5pp1/2r2b1p/2P5/4NP2/4P3/6PP/2R1R1K1 w - - 1 27,e1d1|f6e7|d1d5|g7g6|g2g4|c8b8|g1g2|b8b2|g2g3|g8g7|h2h4|b2b3|g3f3|e7h4|d5d7|g6g5|f4f5|c6a6|e4d2|b3b4|c5c6|h6h5|c6c7|h5g4|f3g2|a6a8|c7c8q|a8c8|c1c8|b4b2|c8c7,315|304|294|305|308|292|304|311|306|317|342|319|331|347|333|367|376|423|446|453|492|488|520|531|397|438|430|454|480|484|473,302,k2f4x,Dudulica,white,180,1-0,2026.01.10 16:35:00
k2f4x,Chess.com,1,4,484,4,37,0,,53,Be7,f6e7,Nxc8,d6c8,2r3k1/5pp1/2rN1b1p/2P5/5P2/4P3/6PP/2R1R1K1 b - - 2 27,2r3k1/4bpp1/2rN3p/2P5/5P2/4P3/6PP/2R1R1K1 w - - 3 28,d6c8|c6c8|c5c6|e7a3|c1c2|g8f8|e1b1|a3d6|b1b7|f8e8|g2g3|d6c7|c2d2|c7d8|g1g2|g7g5|d2d6|h6h5|f4g5|d8g5|g2f3|g5d8|h2h4|d8e7|d6d7|e7d8|d7f7|c8c6|f7h7|d8f6|b7b8|f6d8|h7h8|e8f7|b8d8|c6c5|d8d7,544|543|552|533|540|534|538|542|528|562|551|540|566|563|591|599|583|611|602|581|586|613|598|624|628|653|654|685|636|683|657|647|660|650|666|679|721,552,k2f4x,Dudulica,white,180,1-0,2026.01.10 16:35:00
k2f4x,Chess.com,1,5,240,2,9,0,,85,Ke5,e6e5,Rd7,d3d7,8/2b3r1/2P1kp2/8/2R1P2P/3R3K/8/8 b - - 12 43,8/2b3r1/2P2p2/4k3/2R1P2P/3R3K/8/8 w - - 13 44,d3d7|g7d7|c6d7|c7d8|c4c8|f6f5|c8d8|e5d6|e4f5,639|723|919|792|932|1034|1417|1211|10000,621,k2f4x,Dudulica,white,180,1-0,2026.01.10 16:35:00
k2f4x,Chess.com,1,6,668,6,5,1,15,89,Rxd7,g7d7,cxd7,c6d7,8/2bR2r1/2P1kp2/8/2R1P2P/7K/8/8 b - - 16 45,8/2br4/2P1kp2/8/2R1P2P/7K/8/8 w - - 0 46,c6d7|e6d7|c4c7|d7e6|c7c5,687|1255|1069|1063|10000,699,k2f4x,Dudulica,white,180,1-0,2026.01.10 16:35:00
k2f4x,Chess.com,1,7,418,4,9,0,,91,Kxd7,e6d7,Rxc7+,c4c7,8/2bP4/4kp2/8/2R1P2P/7K/8/8 b - - 0 46,8/2bk4/5p2/8/2R1P2P/7K/8/8 w - - 0 47,c4c7|d7d6|c7c4|d6e5|h3g4|f6f5|e4f5|e5d6|g4h5,1163|1148|10000|1043|1314|1432|10000|1420|10000,1071,k2f4x,Dudulica,white,180,1-0,2026.01.10 16:35:00
k2f4x,Chess.com,1,8,110,1,9,1,11,93,Be5,c7e5,Kg4,h3g4,8/2bk4/5p2/7P/2R1P3/7K/8/8 b - - 0 47,8/3k4/5p2/4b2P/2R1P3/7K/8/8 w - - 1 48,h3g4|d7e6|h5h6|e5b2|h6h7|f6f5|e4f5|e6e7|g4g5,781|794|819|966|977|909|923|1183|1094,734,k2f4x,Dudulica,white,180,1-0,2026.01.10 16:35:00
k2f4x,Chess.com,2,0,175,1,9,1,19,32,b4,b2b4,f5,f6f5,rn1q1rk1/1b2n1b1/p2p1p1p/Pp1Pp1p1/4P3/4BN2/NP2BPPP/R2Q1RK1 w - - 0 17,rn1q1rk1/1b2n1b1/p2p1p1p/Pp1Pp1p1/1P2P3/4BN2/N3BPPP/R2Q1RK1 b - - 0 17,f6f5|e3b6|d8e8|a1c1|b8d7|f3g5|h6g5|e2h5|f8f7,32|46|81|42|81|10|90|11|94,24,Hayden069420,k2f4x,black,180,1-0,2026.01.10 16:43:46
k2f4x,Chess.com,2,1,129,1,9,1,17,34,Rc1,a1c1,f5,f6f5,r2q1rk1/1b1nn1b1/p2p1p1p/Pp1Pp1p1/1P2P3/4BN2/N3BPPP/R2Q1RK1 w - - 1 18,r2q1rk1/1b1nn1b1/p2p1p1p/Pp1Pp1p1/1P2P3/4BN2/N3BPPP/2RQ1RK1 b - - 2 18,f6f5|f3d2|f5f4|e3b6|d7b6|a5b6|d8b6|e2g4|g8h8,-16|-10|-9|-10|-15|-18|-31|-17|-28,-15,Hayden069420,k2f4x,black,180,1-0,2026.01.10 16:43:46
