username,game_url,game_index,event_index,opportunity_kind,opportunity_cp,mate_in,target_pawns,t_turns_engine,converted_actual,t_turns_actual,opponent_move_ply_index,opponent_move_san,opponent_move_uci,best_reply_san,best_reply_uci,fen_before,fen_after,pv_moves,pv_evals,eval_before,white_player,black_player,player_color,time_control,game_result,end_time,converted_by_resignation,excluded_overlap,overlap_owner_ply,overlap_owner_event
k2f4x,https://www.chess.com/game/live/147647575994,2,0,cp,146,,1,1,1,1,4,Be2,f1e2,Bxe4,b7e4,rn1qkbnr/pbpppppp/1p6/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,rn1qkbnr/pbpppppp/1p6/8/3PP3/8/PPP1BPPP/RNBQK1NR b KQkq - 2 3,b7e4,-66,-81,bemo0106,k2f4x,black,180,1-0,2026.01.06 05:34:27,0,0,,
k2f4x,https://www.chess.com/game/live/147647515256,0,0,cp,104,,1,5,1,,22,fxe4,f3e4,Ne5,d7e5,r2qk2r/pb1nnpbp/1p2p1p1/2p5/4p3/P1PP1PPP/1P1NN1B1/R1BQK2R w KQkq - 0 12,r2qk2r/pb1nnpbp/1p2p1p1/2p5/4P3/P1PP2PP/1P1NN1B1/R1BQK2R b KQkq - 0 12,d7e5|e2f4|g6g5|f4h5|e5d3,-252|-240|-215|-227|-220,152,mintygit,k2f4x,black,180,0-1,2026.01.06 05:31:30,1,0,,
k2f4x,https://www.chess.com/game/live/147647515256,0,1,cp,195,,1,1,0,,24,Qc2,d1c2,Qxd3,d8d3,r2qk2r/pb2npbp/1p2p1p1/2p1n3/4P3/P1PP2PP/1P1NN1B1/R1BQK2R w KQkq - 1 13,r2qk2r/pb2npbp/1p2p1p1/2p1n3/4P3/P1PP2PP/1PQNN1B1/R1B1K2R b KQkq - 2 13,d8d3,-437,252,mintygit,k2f4x,black,180,0-1,2026.01.06 05:31:30,0,0,,
k2f4x,https://www.chess.com/game/live/147647515256,0,2,cp,196,,1,1,1,,28,Qxd3,c2d3,Qxd3,d8d3,r2qk2r/p3npbp/bp2p1p1/2p5/2P1P3/P2n2PP/1PQNN1B1/R1B1K2R w KQkq - 0 15,r2qk2r/p3npbp/bp2p1p1/2p5/2P1P3/P2Q2PP/1P1NN1B1/R1B1K2R b KQkq - 0 15,d8d3,-601,409,mintygit,k2f4x,black,180,0-1,2026.01.06 05:31:30,1,0,,
k2f4x,https://www.chess.com/game/live/147647543604,1,0,cp,135,,1,3,0,,17,Qe7,d8e7,Bxf6,g5f6,rnbqk2r/ppp3pp/5n2/3p2B1/3Pp3/2P2P2/P3Q1PP/R3KBNR b KQkq - 0 9,rnb1k2r/ppp1q1pp/5n2/3p2B1/3Pp3/2P2P2/P3Q1PP/R3KBNR w KQkq - 1 10,g5f6|e7f6|f3e4,-21|-19|-18,-163,k2f4x,AneudySFF,white,180,1-0,2026.01.06 05:32:53,0,0,,
k2f4x,https://www.chess.com/game/live/147647543604,1,1,cp,165,,1,1,1,1,21,Qxe2+,e4e2,Nxe2,g1e2,rnb1k2r/ppp3pp/5B2/3p4/3Pq3/2P5/P3Q1PP/R3KBNR b KQkq - 0 11,rnb1k2r/ppp3pp/5B2/3p4/3P4/2P5/P3q1PP/R3KBNR w KQkq - 0 12,g1e2,109,-19,k2f4x,AneudySFF,white,180,1-0,2026.01.06 05:32:53,0,1,17,0
k2f4x,https://www.chess.com/game/live/147673809888,7,0,cp,100,,1,1,1,1,13,Qxd1+,d8d1,Rxd1,a1d1,rnbq1rk1/ppp1ppbp/5np1/4P1B1/2P5/2N5/PP3PPP/R2QKBNR b KQ - 0 7,rnb2rk1/ppp1ppbp/5np1/4P1B1/2P5/2N5/PP3PPP/R2qKBNR w KQ - 0 8,a1d1,-19,-111,k2f4x,iambluemaster7,white,180,1-0,2026.01.06 19:04:20,0,0,,
k2f4x,https://www.chess.com/game/live/147673809888,7,1,cp,123,,1,7,1,13,17,Bxe5,g7e5,Nf3,g1f3,rnb2rk1/ppp1ppbp/6p1/3NP1B1/2P3n1/8/PP3PPP/3RKBNR b K - 2 9,rnb2rk1/ppp1pp1p/6p1/3Nb1B1/2P3n1/8/PP3PPP/3RKBNR w K - 0 10,g1f3|e5d6|h2h3|c7c6|d5e7|d6e7|g5e7,100|112|100|94|87|89|93,-33,k2f4x,iambluemaster7,white,180,1-0,2026.01.06 19:04:20,0,0,,
k2f4x,https://www.chess.com/game/live/147673809888,7,2,cp,192,,1,1,1,1,25,Nxd1,f2d1,Bxf8,e7f8,rnb2rk1/ppN1Bp1p/6p1/2b5/8/5N2/PP3nPP/3RKB1R b K - 0 13,rnb2rk1/ppN1Bp1p/6p1/2b5/8/5N2/PP4PP/3nKB1R w K - 0 14,e7f8,324,137,k2f4x,iambluemaster7,white,180,1-0,2026.01.06 19:04:20,0,0,,
k2f4x,https://www.chess.com/game/live/147673809888,7,3,cp,286,,2,1,1,1,27,Nxb2,d1b2,Bxf8,c5f8,rnb2rk1/ppN2p1p/6p1/2B5/8/5N2/PP4PP/3nKB1R b K - 0 14,rnb2rk1/ppN2p1p/6p1/2B5/8/5N2/Pn4PP/4KB1R w K - 0 15,c5f8,491,221,k2f4x,iambluemaster7,white,180,1-0,2026.01.06 19:04:20,0,0,,
